Value of payload(in bytes),Cumulative RTT(in microseconds)
100,98115.460000
200,95438.260000
300,102198.840000
400,98108.620000
500,89952.040000
600,96153.060000
700,93903.760000
800,99493.320000
900,102138.440000
1000,99917.880000
