Value of payload(in bytes),Cumulative RTT(in microseconds)
100,27517.700000
200,24780.240000
300,29802.940000
400,31027.980000
500,30792.640000
600,30212.060000
700,25627.880000
800,24937.440000
900,25529.860000
1000,24715.280000
