Value of payload(in bytes),Cumulative RTT(in microseconds)
100,50249.940000
200,50809.180000
300,47028.240000
400,46343.320000
500,53946.120000
600,53390.060000
700,46082.820000
800,47131.400000
900,47826.980000
1000,46642.580000
